Nombre Localidad;Eje Vial
ENGATIVA;CL 86BIS
ENGATIVA;CL 86ABIS
ENGATIVA;CL 86A
ENGATIVA;CL 83A
ENGATIVA;CL 81
ENGATIVA;CL 80A
ENGATIVA;CL 80
ENGATIVA;CL 78
ENGATIVA;CL 77A
ENGATIVA;CL 74ABIS
ENGATIVA;CL 72A
ENGATIVA;CL 71A
ENGATIVA;CL 71
ENGATIVA;CL 70DBIS
ENGATIVA;CL 69B
ENGATIVA;CL 69A
ENGATIVA;CL 68C
ENGATIVA;CL 68B
ENGATIVA;CL 68ABIS
ENGATIVA;CL 68
ENGATIVA;CL 67BBISA
ENGATIVA;CL 66
ENGATIVA;AK 86
ENGATIVA;AK 72
ENGATIVA;AK 68
FONTIBON;KR 136A
FONTIBON;KR 135
FONTIBON;KR 123
FONTIBON;KR 113
FONTIBON;KR 111A
FONTIBON;KR 111
FONTIBON;KR 107
FONTIBON;KR 106
FONTIBON;KR 104
FONTIBON;KR 100
FONTIBON;KR 99
FONTIBON;KR 98
FONTIBON;KR 96G
FONTIBON;KR 96C
FONTIBON;KR 96B
FONTIBON;KR 82
FONTIBON;KR 75
FONTIBON;DG 16
FONTIBON;CLL 23H BIS
FONTIBON;CL 25B
FONTIBON;CL 23A
FONTIBON;CL 22D
FONTIBON;CL 20B
FONTIBON;CL 20A
FONTIBON;CL 17F
FONTIBON;CL 17
FONTIBON;CL 16H
FONTIBON;CL 15CBIS
FONTIBON;AK 72
FONTIBON;AK 70
FONTIBON;AK 68D
FONTIBON;AC 24
FONTIBON;AC 17
KENNEDY;TV 80G
KENNEDY;TV 78J
KENNEDY;TV 78HBISA
KENNEDY;TV 78HBIS
KENNEDY;TV 78H
KENNEDY;TV 78B
KENNEDY;TV 78
KENNEDY;TV 73ABISA
KENNEDY;TV 71B
KENNEDY;KR 98
KENNEDY;KR 87A
KENNEDY;KR 87
KENNEDY;KR 86F
KENNEDY;KR 81D
KENNEDY;KR 81C
KENNEDY;KR 81A
KENNEDY;KR 80H
KENNEDY;KR 79C
KENNEDY;KR 79A
KENNEDY;KR 79
KENNEDY;KR 78FBIS
KENNEDY;KR 78F
KENNEDY;KR 78BIS
KENNEDY;KR 78A
KENNEDY;KR 78
KENNEDY;KR 77Q
KENNEDY;KR 77
KENNEDY;KR 73C
KENNEDY;KR 73BBISA
KENNEDY;KR 73B
KENNEDY;KR 73A
KENNEDY;KR 73
KENNEDY;KR 72R
KENNEDY;KR 72Q
KENNEDY;KR 72N
KENNEDY;KR 72MBIS
KENNEDY;KR 72M BIS
KENNEDY;KR 72M
KENNEDY;KR 72L
KENNEDY;KR 72B
KENNEDY;KR 71A
KENNEDY;KR 69C
KENNEDY;KR 69B
KENNEDY;KR 68I
KENNEDY;KR 68GBIS
KENNEDY;KR 68FBIS
KENNEDY;KR 68C
